id,direction,entry_price,entry_time,entry_time_ts,exit_price,exit_time,exit_time_ts,exit_reason,sl,tps,initial_size,pnl,pnl_percent,cumulative_pnl,tp_hits,r_return
67,short,3538.94,2025-09-04 09:45:00+00:00,1756979100,3548.46,2025-09-04 12:50:00+00:00,1756990200,SL,3548.31,"[np.float64(3497.6), np.float64(3447.81), None, None, None]",106.72,-1015.97,-0.27,25971.96,[],-1.02
68,long,3643.97,2025-09-10 13:50:00+00:00,1757512200,3637.51,2025-09-10 20:30:00+00:00,1757536200,SL,3637.66,"[np.float64(3692.75), np.float64(3751.46), None, None, None]",90.72,-585.75,-0.18,25386.21,[],-0.59
69,short,3683.39,2025-09-17 06:10:00+00:00,1758089400,3670.46,2025-09-17 10:20:00+00:00,1758104400,SL,3670.31,"[np.float64(3662.2), np.float64(3636.6), None, None, None]",204.43,2643.97,0.35,28030.18,[],2.64
70,long,3778.78,2025-09-23 14:50:00+00:00,1758639000,3766.56,2025-09-23 17:35:00+00:00,1758648900,SL,3766.71,"[np.float64(3832.26), np.float64(3896.63), None, None, None]",82.86,-1012.44,-0.32,27017.74,[],-1.01
71,long,3772.38,2025-09-23 17:35:00+00:00,1758648900,3761.49,2025-09-23 19:55:00+00:00,1758657300,SL,3761.64,"[np.float64(3839.08), np.float64(3919.31), None, None, None]",66.64,-725.71,-0.29,26292.03,[],-0.73
72,long,3767.98,2025-09-24 10:40:00+00:00,1758710400,3758.44,2025-09-24 15:05:00+00:00,1758726300,SL,3758.59,"[np.float64(3809.41), np.float64(3859.31), None, None, None]",106.49,-1015.99,-0.25,25276.03,[],-1.02
73,long,3863.95,2025-10-01 06:05:00+00:00,1759298700,3871.97,2025-10-01 13:40:00+00:00,1759326000,SL,3872.12,"[np.float64(3928.68), np.float64(4006.54), None, None, None]",68.64,550.53,0.21,25826.56,[],0.55
74,long,3873.18,2025-10-01 15:55:00+00:00,1759334100,3863.78,2025-10-02 15:20:00+00:00,1759418400,SL,3863.93,"[np.float64(3965.02), np.float64(4075.41), None, None, None]",48.56,-456.4,-0.24,25370.17,[],-0.46
75,long,3862.22,2025-10-03 12:55:00+00:00,1759496100,3880.68,2025-10-03 14:30:00+00:00,1759501800,News Embargo,3866.72,"[np.float64(3911.45), np.float64(3970.7), None, None, None]",89.91,1659.74,0.48,27029.91,[],1.66
76,long,3935.8,2025-10-06 12:50:00+00:00,1759755000,3950.22,2025-10-06 17:10:00+00:00,1759770600,SL,3950.37,"[np.float64(3989.88), np.float64(4054.97), None, None, None]",81.95,1181.43,0.37,28211.34,[],1.18
77,long,4038.26,2025-10-08 14:55:00+00:00,1759935300,4049.49,2025-10-08 18:45:00+00:00,1759949100,News Embargo,4031.4,"[np.float64(4115.8), np.float64(4209.03), None, None, None]",57.42,644.83,0.28,28856.16,[],0.64
78,long,4036.04,2025-10-09 12:25:00+00:00,1760012700,4044.88,2025-10-09 14:35:00+00:00,1760020500,SL,4045.03,"[np.float64(4071.64), np.float64(4114.55), None, None, None]",123.53,1091.74,0.22,29947.91,[],1.09
79,long,4109.32,2025-10-23 13:25:00+00:00,1761225900,4121.43,2025-10-23 20:35:00+00:00,1761251700,SL,4121.58,"[np.float64(4201.58), np.float64(4312.47), None, None, None]",48.34,585.56,0.29,30533.47,[],0.59
80,short,4074.87,2025-10-27 08:00:00+00:00,1761552000,4049.93,2025-10-27 10:00:00+00:00,1761559200,SL,4049.78,"[np.float64(4004.82), np.float64(3920.57), None, None, None]",63.49,1583.33,0.61,32116.8,[],1.58
81,short,3929.67,2025-10-28 14:20:00+00:00,1761661200,3942.38,2025-10-28 15:00:00+00:00,1761663600,SL,3942.23,"[np.float64(3854.04), np.float64(3763.1), None, None, None]",58.86,-747.83,-0.32,31368.97,[],-0.75
82,long,4017.13,2025-10-29 14:15:00+00:00,1761747300,4001.09,2025-10-29 16:45:00+00:00,1761756300,SL,4001.24,"[np.float64(4087.82), np.float64(4172.83), None, None, None]",62.92,-1009.38,-0.4,30359.59,[],-1.01
83,long,3974.62,2025-10-30 14:00:00+00:00,1761832800,3998.25,2025-10-31 04:10:00+00:00,1761883800,SL,3998.4,"[np.float64(4108.8), np.float64(4270.0), None, None, None]",33.33,787.49,0.59,31147.08,[],0.79
